"","V101","evangelical"
"676",161806877,0
"677",161806885,1
"678",161806896,0
"679",161806918,1
"680",161806936,0
"681",161806966,0
"682",161806979,0
"683",161807012,1
"684",161807029,0
"685",161807059,0
"686",161807061,0
"687",161807079,1
"688",161807146,0
"689",161807191,1
"690",161807243,0
"691",161807251,0
"692",161807280,1
"693",161807321,0
"694",161807330,0
"695",161807358,0
"696",161807383,0
"697",161807391,0
"698",161807394,1
"699",161807433,0
"700",161807447,1
"701",161807461,1
"702",161807471,0
"703",161807523,0
"704",161807594,1
"705",161807602,0
"706",161807610,0
"707",161807659,0
"708",161807663,0
"709",161807678,0
"710",161807681,0
"711",161807683,0
"712",161807776,1
"713",161807810,1
"714",161807872,0
"715",161807882,1
"716",161807942,0
"717",161807944,0
"718",161807947,1
"719",161807996,1
"720",161808068,0
"721",161808088,0
"722",161808095,1
"723",161808105,0
"724",161808108,0
"725",161808157,0
"726",161808167,1
"727",161808176,1
"728",161808184,0
"729",161808190,0
"730",161808223,0
"731",161808227,0
"732",161808236,0
"733",161808245,0
"734",161808255,0
"735",161808282,1
"736",161808300,0
"737",161808309,0
"738",161808321,0
"739",161808324,0
"740",161808327,0
"741",161808351,1
"742",161808388,0
"743",161808425,0
"744",161808429,1
"745",161808465,0
"746",161808469,0
"747",161808592,0
"748",161808654,1
"749",161808748,0
"750",161808771,0
"751",161808832,0
"752",161808851,0
"753",161808914,0
"754",161808965,0
"755",161809012,0
"756",161809044,0
"757",161809068,1
"758",161809070,0
"759",161809100,0
"760",161809109,0
"761",161809133,0
"762",161809194,0
"763",161809217,0
"764",161809402,0
"765",161809409,0
"766",161809412,0
"767",161809427,0
"768",161809476,0
"769",161809500,1
"770",161809548,1
"771",161809562,1
"772",161809598,0
"773",161809602,0
"774",161809673,0
"775",161809682,1
"776",161809686,0
"777",161809725,1
"778",161809776,0
"779",161809836,0
"780",161809844,0
"781",161809847,0
"782",161809849,0
"783",161809971,0
"784",161809974,0
"785",161810046,1
"786",161810074,0
"787",161810090,0
"788",161810115,0
"789",161810188,0
"790",161810250,0
"791",161810282,0
"792",161810322,1
"793",161810334,0
"794",161810404,0
"795",161810437,0
"796",161810480,0
"797",161810486,0
"798",161810493,0
"799",161810503,0
"800",161810539,0
"801",161810562,0
"802",161810578,0
"803",161810600,0
"804",161810603,0
"805",161810604,0
"806",161810607,0
"807",161810922,0
"808",161811062,1
"809",161812475,0
"810",161812503,0
"811",161812529,0
"812",161812553,0
"813",161812627,1
"814",161812642,1
"815",161812684,0
"816",161812694,1
"817",161812729,0
"818",161812795,0
"819",161812798,1
"820",161812804,0
"821",161812813,1
"822",161812822,0
"823",161812832,0
"824",161812949,0
"825",161812980,0
"826",161813050,0
"827",161813063,0
"828",161813090,0
"829",161813128,0
"830",161813131,0
"831",161813146,0
"832",161813154,0
"833",161813160,1
"834",161813166,1
"835",161813174,1
"836",161813181,0
"837",161813193,1
"838",161813200,0
"839",161813209,0
"840",161813211,0
"841",161813225,0
"842",161813231,0
"843",161813235,0
"844",161813240,0
"845",161813255,0
"846",161813326,1
"847",161813336,0
"848",161813359,0
"849",161813393,0
"850",161813438,0
"851",161813456,0
"852",161813499,0
"853",161813542,0
"854",161813548,1
"855",161813549,0
"856",161813582,0
"857",161813591,0
"858",161813642,0
"859",161813707,1
"860",161813719,0
"861",161813785,0
"862",161813835,1
"863",161813871,0
"864",161813903,0
"865",161813911,1
"866",161813934,0
"867",161813945,0
"868",161813966,0
"869",161813984,0
"870",161814056,1
"871",161814062,0
"872",161814104,0
"873",161814106,0
"874",161814174,0
"875",161814193,1
"876",161814197,0
"877",161814231,0
"878",161814253,1
"879",161814268,0
"880",161814304,0
"881",161814325,1
"882",161814331,0
"883",161814337,0
"884",161814427,0
"885",161814544,0
"886",161814676,1
"887",161814693,0
"888",161814733,0
"889",161814751,0
"890",161814755,0
"891",161814802,0
"892",161814803,0
"893",161814811,1
"894",161814818,0
"895",161814823,0
"896",161814907,0
"897",161814908,0
"898",161814995,0
"899",161815053,0
"900",161815074,1
"901",161815148,0
"902",161815174,1
"903",161815176,0
"904",161815232,0
"905",161815252,1
"906",161815261,0
"907",161815293,0
"908",161815304,0
"909",161815347,0
"910",161815394,0
"911",161815400,0
"912",161815402,0
"913",161815421,1
"914",161815465,0
"915",161815544,0
"916",161815574,0
"917",161815588,0
"918",161815641,0
"919",161815743,1
"920",161815758,0
"921",161815768,0
"922",161815851,0
"923",161815893,0
"924",161815896,0
"925",161815928,1
"926",161815951,1
"927",161815963,0
"928",161815989,0
"929",161816035,0
"930",161816083,0
"931",161816138,0
"932",161816188,1
"933",161816214,0
"934",161816227,0
"935",161816290,1
"936",161816329,0
"937",161816440,0
"938",161817557,1
"939",161818228,0
"940",161818239,0
"941",161818241,0
"942",161818308,0
"943",161818345,0
"944",161818359,0
"945",161818365,0
"946",161818434,0
"947",161818449,0
"948",161818459,1
"949",161818546,0
"950",161818552,0
"951",161818554,0
"952",161818581,0
"953",161818592,0
"954",161818608,0
"955",161818649,0
"956",161818671,0
"957",161818672,1
"958",161818712,0
"959",161818715,0
"960",161818732,0
"961",161818762,1
"962",161818767,1
"963",161818772,0
"964",161818788,1
"965",161818863,0
"966",161818912,0
"967",161818965,0
"968",161818975,0
"969",161819014,1
"970",161819032,1
"971",161819073,0
"972",161819104,0
"973",161819109,0
"974",161819111,1
"975",161819151,0
"976",161819188,0
"977",161819192,1
"978",161819217,0
"979",161819226,0
"980",161819283,0
"981",161819287,0
"982",161819300,0
"983",161819301,0
"984",161819309,0
"985",161819378,0
"986",161819387,0
"987",161819496,0
"988",161819519,0
"989",161819524,0
"990",161819534,0
"991",161819557,1
"992",161819586,0
"993",161819602,0
"994",161819603,0
"995",161819617,1
"996",161819622,1
"997",161819637,0
"998",161819693,0
"999",161819708,1
"1000",161819722,0
"1001",161819741,1
"1002",161819766,0
"1003",161819783,0
"1004",161819790,0
"1005",161819826,0
"1006",161819836,0
"1007",161819851,0
"1008",161819876,0
"1009",161819882,1
"1010",161819893,0
"1011",161819929,0
"1012",161819951,0
"1013",161819974,0
"1014",161820037,0
"1015",161820096,1
"1016",161820098,0
"1017",161820171,0
"1018",161820212,0
"1019",161820215,0
"1020",161820219,0
"1021",161820299,0
"1022",161820349,0
"1023",161820366,0
"1024",161820384,0
"1025",161820402,0
"1026",161820407,0
"1027",161820420,0
"1028",161820423,0
"1029",161820450,0
"1030",161820458,0
"1031",161820526,0
"1032",161820553,0
"1033",161820568,0
"1034",161820570,0
"1035",161820660,1
"1036",161820674,0
"1037",161820729,1
"1038",161820754,0
"1039",161820771,1
"1040",161820852,0
"1041",161820858,0
"1042",161820880,1
"1043",161820904,0
"1044",161820940,0
"1045",161820956,0
"1046",161820999,1
"1047",161821003,0
"1048",161821005,0
"1049",161821027,0
"1050",161821082,0
"1051",161821087,0
"1052",161821106,1
"1053",161821205,0
"1054",161821222,0
"1055",161821228,1
"1056",161821240,0
"1057",161821304,0
"1058",161821329,0
"1059",161821360,0
"1060",161821369,0
"1061",161821421,0
"1062",161821451,1
"1063",161821468,1
"1064",161821531,1
"1065",161821565,1
"1066",161821584,0
"1067",161821585,0
"1068",161821587,0
"1069",161821630,0
"1070",161821663,0
"1071",161821670,0
"1072",161821681,0
"1073",161821682,0
"1074",161821716,0
"1075",161821737,1
"1076",161821783,1
"1077",161821840,0
"1078",161821944,0
"1079",161821950,0
"1080",161821965,0
"1081",161822001,0
"1082",161822019,0
"1083",161822020,1
"1084",161822030,0
"1085",161822033,0
"1086",161822364,1
"1087",161822378,1
"1088",161822386,0
"1089",161822486,1
"1090",161823425,1
"1091",161823435,0
"1092",161823445,0
"1093",161823450,0
"1094",161823519,0
"1095",161823529,0
"1096",161823572,0
"1097",161823601,1
"1098",161823605,0
"1099",161823622,0
"1100",161823635,0
"1101",161823654,0
"1102",161823689,0
"1103",161823719,0
"1104",161823721,1
