"","V101","evangelical"
"204",301366702,0
"205",301366703,0
"206",301366709,0
"207",301366714,0
"208",301367701,0
"209",301374863,1
"210",301374868,0
"211",301374891,0
"212",301374892,0
"213",301376440,1
"214",301377302,0
"215",301377504,0
"216",301380322,0
"217",301383014,0
"218",301385895,0
"219",301386533,0
"220",301386607,0
"221",301386623,0
"222",301386637,0
"223",301386647,1
"224",301389279,0
"225",301394968,0
"226",301397487,1
"227",301397670,0
"228",301399783,0
"229",301399885,0
"230",301399901,0
"231",301400021,0
"232",301400052,0
"233",301400064,1
"234",301400066,0
"235",301400071,0
"236",301400073,0
"237",301400100,0
"238",301400105,0
"239",301400122,0
"240",301400290,0
"241",301400358,0
"242",301400362,0
"243",301400379,1
"244",301400417,0
"245",301400428,0
"246",301400430,1
"247",301400441,0
"248",301400447,1
"249",301400467,0
"250",301400471,1
"251",301400473,0
"252",301400492,0
"253",301400497,1
"254",301400509,0
"255",301400518,0
"256",301400527,0
"257",301400583,1
"258",301400590,1
"259",301400613,1
"260",301400623,0
"261",301400630,0
"262",301400643,0
"263",301400668,0
"264",301400683,0
"265",301400701,0
"266",301400714,0
"267",301400734,0
"268",301400752,1
"269",301400766,0
"270",301400860,1
"271",301400883,0
"272",301400884,0
"273",301400898,1
"274",301400905,0
"275",301400941,0
"276",301400961,0
"277",301400971,0
"278",301401012,0
"279",301401015,0
"280",301401026,1
"281",301401042,0
"282",301401152,0
"283",301401158,1
"284",301401192,1
"285",301401202,0
"286",301401246,0
"287",301401298,0
"288",301401335,0
"289",301401339,0
"290",301401398,1
"291",301401406,0
"292",301401474,1
"293",301401513,0
"294",301401569,0
"295",301401578,0
"296",301401602,0
"297",301401628,1
"298",301402771,0
"299",301402791,0
"300",301402800,0
"301",301402971,0
"302",301403107,0
"303",301403117,0
"304",301403139,0
"305",301403149,0
"306",301403172,0
"307",301403173,0
"308",301403230,0
"309",301403256,0
"310",301403266,1
"311",301403342,1
"312",301403412,0
"313",301403413,1
"314",301403433,0
"315",301403472,1
"316",301403493,0
"317",301403509,0
"318",301403519,0
"319",301403532,0
"320",301403561,1
"321",301403567,0
"322",301403576,1
"323",301403601,0
"324",301403628,1
"325",301403635,0
"326",301403658,0
"327",301404357,0
"328",301404381,0
"329",301404388,0
"330",301404402,0
"331",301404537,0
"332",301404547,0
"333",301404584,0
"334",301404615,1
"335",301404627,0
"336",301404637,0
"337",301404643,0
"338",301404664,0
"339",301404682,0
"340",301404760,0
"341",301404777,0
"342",301404783,1
"343",301404785,0
"344",301404802,0
"345",301404807,0
"346",301404826,0
"347",301404921,0
"348",301404974,0
"349",301405010,0
"350",301405016,1
"351",301405028,1
"352",301405029,0
"353",301405069,0
"354",301405078,0
"355",301405154,0
"356",301405156,0
"357",301405269,0
"358",301405270,1
"359",301405275,1
"360",301405277,0
"361",301405302,0
"362",301405315,0
"363",301405323,1
"364",301405354,0
"365",301405376,0
"366",301405395,0
"367",301405487,1
"368",301405492,0
"369",301405518,0
"370",301405534,0
"371",301405568,0
"372",301405569,0
"373",301405584,1
"374",301405609,0
"375",301405701,0
"376",301405766,0
"377",301405800,0
"378",301406957,0
"379",301407008,0
"380",301407050,0
"381",301407054,0
"382",301407135,0
"383",301407146,1
"384",301407177,0
"385",301407206,0
"386",301407227,0
"387",301407233,0
"388",301407331,1
"389",301407409,0
"390",301407433,0
"391",301407465,0
"392",301407471,0
"393",301407490,0
"394",301407524,0
"395",301407526,0
"396",301407529,1
"397",301407537,0
"398",301407552,0
"399",301407566,1
"400",301407572,0
"401",301407588,0
"402",301407600,0
"403",301407602,0
"404",301407625,0
"405",301407699,0
"406",301408381,0
"407",301408515,0
"408",301408523,0
"409",301408553,1
"410",301408558,0
"411",301408714,0
"412",301408723,0
"413",301408732,0
"414",301408739,0
"415",301408744,0
"416",301408750,0
"417",301408765,1
"418",301408782,0
"419",301408793,1
"420",301408828,0
"421",301408843,0
"422",301408865,1
"423",301408893,0
"424",301408906,0
"425",301408911,0
"426",301408918,0
"427",301408920,0
"428",301408961,1
"429",301408962,0
"430",301409004,1
"431",301409015,0
"432",301409022,0
"433",301409030,1
"434",301409055,0
"435",301409076,0
"436",301409129,0
"437",301409168,0
"438",301409178,0
"439",301409183,0
"440",301409202,0
"441",301409241,0
"442",301409243,0
"443",301409268,0
"444",301409289,0
"445",301409306,0
"446",301409378,0
"447",301409430,0
"448",301409433,0
"449",301409448,1
"450",301409523,1
"451",301409562,0
"452",301409567,0
"453",301409591,0
"454",301409631,0
"455",301409714,0
"456",301409715,1
"457",301409730,0
"458",301409753,0
"459",301409758,0
"460",301409773,0
"461",301409799,1
"462",301410890,1
"463",301410937,0
"464",301411041,0
